Fechas,TEMP-EXT,TEMP-INT,HUM-INT,HUM-EXT
2017-03-28 11:49:20,41.73,36.85,39.22,25.75
2017-03-28 12:19:28,43.05,37.51,36.62,23.16
2017-03-28 12:49:36,43.11,38.04,36.63,22.66
2017-03-28 13:19:43,41.65,38.16,31.78,21.25
2017-03-28 13:49:54,43.01,38.38,32.19,21.1
2017-03-28 14:20:01,42.62,38.1,34.63,20.48
2017-03-28 14:50:08,44.43,38.06,35.28,19.65
2017-03-28 15:20:15,45.26,38.35,30.04,18.74
2017-03-28 15:50:22,45.07,38.56,31.13,18.76
2017-03-28 16:20:30,44.73,38.99,30.89,18.79
2017-03-28 16:50:37,42.75,38.6,31.65,20.11
2017-03-28 17:20:44,41.76,38.28,30.69,20.28
2017-03-28 17:50:58,40.79,37.93,30.69,21.02
2017-03-28 18:21:05,39.92,37.32,33.86,21.98
2017-03-28 18:51:13,39.13,37.16,33.53,23.11
2017-03-28 19:21:20,38.04,36.88,32.38,25.33
2017-03-28 19:51:27,37.11,36.58,34.29,27.03
2017-03-28 20:21:34,36.05,36.35,36.17,29.29
2017-03-28 20:51:41,34.42,35.8,37.39,34.03
2017-03-28 21:21:49,33.57,35.42,39.82,36.74
2017-03-28 21:51:56,32.86,34.98,41.9,40.16
2017-03-28 22:22:03,32.53,34.72,40.08,41.71
2017-03-28 22:52:10,32.04,34.47,43.73,43.86
2017-03-28 23:22:17,31.14,34.15,43.83,47.27
2017-03-28 23:52:24,30.81,33.94,45.1,48.83
2017-03-29 00:22:31,30.54,33.78,46.56,50.59
2017-03-29 00:52:38,29.43,33.61,47.38,54.68
2017-03-29 01:22:46,30.29,33.52,53.4,52.42
2017-03-29 01:52:53,29.7,33.51,50.77,54.51
2017-03-29 02:23:00,30.16,33.4,51.88,51.96
2017-03-29 02:53:10,29.4,33.42,49.76,55.31
2017-03-29 03:23:16,29.68,33.4,57.09,53.9
2017-03-29 03:53:24,29.46,33.42,57.43,54.61
2017-03-29 04:23:31,29.78,33.39,57.86,53.17
2017-03-29 04:53:38,30.19,33.49,58.24,51.05
2017-03-29 05:23:45,29.8,33.32,57.75,51.91
2017-03-29 05:53:52,28.87,33.19,58.55,54.92
2017-03-29 06:23:59,29.09,33.12,61.63,53.98
2017-03-29 06:54:06,28.68,32.86,59.49,56.21
2017-03-29 07:24:13,28.79,32.56,53.51,56.47
2017-03-29 07:54:20,30.66,32.6,58.62,53.24
2017-03-29 08:24:27,31.67,32.76,52.65,51.39
2017-03-29 08:54:34,32.48,32.91,53.73,49.66
2017-03-29 09:24:41,34.19,33.06,53.26,44.47
2017-03-29 09:54:48,36.12,33.36,49.22,38.75
2017-03-29 10:24:56,37.76,34.11,46.21,34.6
2017-03-29 10:55:03,38.83,34.95,45.09,31.49
2017-03-29 11:25:10,40.29,35.89,41.84,29.21
2017-03-29 11:55:18,41.25,36.85,39.89,26.36
